學年度,學期,分類,學制,cluster標籤,課程名稱,英文課程名稱,開課班別(代表),科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
112,2,專業課程,學士班,熱門課程,體操(一),Gymnastics I,運二,運動學系,社會科學暨體育學院,1,陳金羚,2,3,體操教室,0.4375,1.171428571,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71019_1SPPE0011810.pdf
112,2,專業課程,學士班,熱門課程,安全教育與急救,Safety Education and Resuscitation,運二,運動學系,社會科學暨體育學院,3,吳漢屏,1,5,體育教室二,0.3,1.416666667,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71018_1SPPE0122630.pdf
112,2,專業課程,學士班,熱門課程,舞蹈(二),Dancing II,運二,運動學系,社會科學暨體育學院,1,鍾孟玲,1,3,韻律教室,0.125,1.4,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71017_1SPPE0013210.pdf
112,2,專業課程,學士班,熱門課程,棒壘球(二),Baseball and Softball II,運二,運動學系,社會科學暨體育學院,1,陳威成,1,1,棒壘場,0.4375,1.114285714,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71016_1SPPE0012910.pdf
112,2,專業課程,學士班,熱門課程,運動生理學,Exercise Physiology,運一,運動學系,社會科學暨體育學院,3,蔡忠昌,5,2,體育教室一,0.7,1.125,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71014_1SPPE0114830.pdf
112,2,專業課程,學士班,熱門課程,游泳(二),Swimming II,運一,運動學系,社會科學暨體育學院,1,林璇,4,7,本校游泳館,0.6625,1.150943396,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71013_1SPPE0011510.pdf
112,2,專業課程,學士班,熱門課程,人體解剖學,Human Anatomy,運一,運動學系,社會科學暨體育學院,3,王信民,4,2,體育教室一,0.175,1.571428571,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71012_1SPPE0141930.pdf
112,2,專業課程,學士班,一般課程,運動專長訓練,Specific Sports Training,運一,運動學系,社會科學暨體育學院,1,蘇泰源陳怡汶,3,11,體育教室四,0.675,1.074074074,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71011_1SPPE0006610.pdf
112,2,專業課程,學士班,熱門課程,田徑(二),Track and Field II,運一,運動學系,社會科學暨體育學院,1,劉元凱,3,3,體育教室一,0.7,1.125,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71010_1SPPE0011010.pdf
112,2,專業課程,學士班,一般課程,網球(二),Tennis II,運一,運動學系,社會科學暨體育學院,1,江勁彥,2,8,網球場,0.325,1.307692308,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71009_1SPPE0011710.pdf
112,2,專業課程,學士班,熱門課程,運動科技與數據應用,Sports Technology and Data Application,運一,運動學系,社會科學暨體育學院,3,江勁彥,2,5,體育教室一,0.3375,0.592592593,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71008_1SPPE0146030.pdf
112,2,專業課程,學士班,熱門課程,體操(一),Gymnastics I,運一,運動學系,社會科學暨體育學院,1,陳金羚,2,1,體操教室,0.6375,1.156862745,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71007_1SPPE0011810.pdf
112,2,專業課程,學士班,一般課程,表演基礎訓練,Fundamental Acting,運一,運動學系,社會科學暨體育學院,2,游晴惠,4,9,體育教室一,0.0375,1,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71005_1SPPE0144020.pdf
112,2,專業課程,學士班,一般課程,藝術概論,Introduction to Arts,運一,運動學系,社會科學暨體育學院,2,鍾孟玲,2,7,體育教室二,0.0375,1.333333333,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71004_1SPPE0143420.pdf
