序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
276,67044,財金碩一,財金數量方法Financial Econometrics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67044_1MABE2027030.pdf,系必修,,否,3,謝企榮,經世館,(五) 02-04 32606,30,19,31,限本系,
277,67043,財金碩一,公司治理Corporate Governance,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67043_1MABE2135130.pdf,系選修,,否,3,林淑惠,經世館,(三) 06-08 32606,20,14,20,可跨班系,
278,67042,財金碩一,國際投資學International Investment,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67042_1MABE2177230.pdf,系選修,,否,3,林淑惠,經世館,(四) 02-04 32606,20,4,8,可跨班系,
279,67041,財金三,國際財務管理International Financial Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67041_1MABE0011030.pdf,系必修,,否,3,林淑惠,經世館,(三) 02-04 32606,50,50,52,可跨班系,
280,67039,財金碩一,統計軟體應用Statistical Software Applications,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67039_1MABE2031230.pdf,系選修,,否,3,林美純,經世館,(三) 02-04 32605,20,3,3,可跨班系,
281,67038,財金博一,質性研究專題研究Qualitative Research Methodology Seminar,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67038_1MABE1179130.pdf,組選修,,否,3,林美純,經世館,(四) 02-04 32410-二館,20,2,4,可跨班系,(財金組)
282,67037,財金三,生涯規劃Career planning,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67037_1MABE0187620.pdf,系選修,,否,2,林美純吳政峰,教學大樓,(三) 07-08 T002,50,3,9,可跨班系,
283,67036,財金三,債券分析Bond Analysis,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67036_1MABE0006130.pdf,系必修,,否,3,林逸程,經世館,(一) 05-07 32410-二館,50,39,41,可跨班系,
284,67035,財金博二,績效管理專題研究Seminar on performance management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67035_1MABE1143030.pdf,組選修,,否,3,陳俞如白凢芸,經世館,(五) 06-08 32410-二館,20,2,2,可跨班系,
285,67034,財金二,組織行為Organizational Behavior,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67034_1MABE0012430.pdf,系選修,,否,3,林宸諒,教學二館,(三) 02-04 34101,50,46,47,可跨班系,
286,67033,財金碩一,時間數列Time Series,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67033_1MABE2178430.pdf,系選修,,否,3,張元,教學二館,(四) 05-07 34101,50,17,23,可跨班系,
287,67032,財金博一,財務實證因果推論專題研究Special Topics on Causal Inference in Financial Empirics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67032_1MABE1188730.pdf,組選修,,否,3,張元,經世館,(二) 07-09 32712,20,4,5,可跨班系,
288,67031,財金碩一,金融制度與市場分析Analysis of Financial Regulation and Markets,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67031_1MABE2177130.pdf,系選修,,否,3,張元,教學二館,(四) 02-04 34101,40,17,32,可跨班系,
289,67030,財金三,企業社會責任Corporate Social Responsibility,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67030_1MABE0171530.pdf,系選修,,否,3,張元,經世館,(二) 02-04 32410-二館,50,13,14,可跨班系,
290,67029,財金碩一,書報討論(二)Seminar II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67029_1MABE2005610.pdf,系必修,,否,1,陳俞如,經世館,(二) 05-06 32712,40,20,40,限本系,
